ID,STRAIN,PROCEDURE_ID,SEQUENCE_ID,STATUS_CODE,IS_MISSING
1,Sbspon (indel),IMPC_FER_001,0,,0
2,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Nub1",IMPC_FER_001,0,,0
3,Mzb1 (indel),IMPC_FER_001,0,,0
4,2510009E07Rik (indel),IMPC_FER_001,0,,0
5,0610009O20Rik (del),IMPC_FER_001,0,,0
6,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Abcg8",IMPC_FER_001,0,,0
7,"Stk26 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_FER_001,0,,0
8,Trim9 (indel),IMPC_FER_001,0,,0
9,March8 (indel),IMPC_FER_001,0,,0
10,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Papd7",IMPC_FER_001,0,,0
11,Trabd2 (indel),IMPC_FER_001,0,,0
12,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Klhl5",IMPC_FER_001,0,,0
13,Rhobtb1,IMPC_FER_001,0,,0
14,3425401B19Rik (indel),IMPC_FER_001,0,,0
15,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)Ics x Btbd3",IMPC_FER_001,0,,0
16,Tmem 55b (indel),IMPC_FER_001,0,,0
17,Fam172aF1 (indel),IMPC_FER_001,0,,0
18,2900011O08Rik (indel),IMPC_FER_001,0,,0
19,Tmem132b (del),IMPC_FER_001,0,,0
20,Tmem150b (del),IMPC_FER_001,0,,0
21,Spink6 (indel),IMPC_FER_001,0,,0
22,"Mex3b x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_FER_001,0,,0
23,1700026D08Rik (indel),IMPC_FER_001,0,,0
24,Fam46a (indel),IMPC_FER_001,0,,0
25,Fam134a (del),IMPC_FER_001,0,,0
26,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Ubd",IMPC_FER_001,0,,0
27,Tmem60 (indel),IMPC_FER_001,0,,0
28,RC3,IMPC_FER_001,0,,0
29,Fam84b-indel,IMPC_FER_001,0,,0
30,Gpr81 (indel),IMPC_FER_001,0,,0
31,Gpr109 (indel),IMPC_FER_001,0,,0
32,"Cul4a x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_FER_001,0,,0
35,E_Atf2,IMPC_EVP_001,0,,0
36,E_Cdk13,IMPC_EVO_001,0,,0
39,"Tmem237 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_001,0,,0
40,"Mex3b x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_001,0,,0
41,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Klhl5",IMPC_VIA_001,0,,0
42,2510009E07Rik (indel),IMPC_VIA_001,0,,0
43,Mzb1 (indel),IMPC_VIA_001,0,IMPC_PSC_004,1
44,Cluh (del),IMPC_VIA_001,0,,0
46,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Abcg8",IMPC_VIA_001,0,,0
47,"Stk26 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_001,0,,0
48,Trim9 (indel),IMPC_VIA_001,0,,0
49,March8 (indel),IMPC_VIA_001,0,,0
50,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Papd7",IMPC_VIA_001,0,,0
51,Trabd2 (indel),IMPC_VIA_001,0,,0
54,RC1,IMPC_VIA_001,0,,0
55,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)Ics x Btbd3",IMPC_VIA_001,0,,0
56,Tmem 55b (indel),IMPC_VIA_001,0,,0
57,Fam172aF1 (indel),IMPC_VIA_001,0,,0
58,2900011O08Rik (indel),IMPC_VIA_001,0,,0
59,Tmem132b (del),IMPC_VIA_001,0,,0
60,Tmem150b (del),IMPC_VIA_001,0,,0
61,Spink6 (indel),IMPC_VIA_001,0,,0
62,1700026D08Rik (indel),IMPC_VIA_001,0,,0
63,Fam46a (indel),IMPC_VIA_001,0,,0
64,Fam134a (del),IMPC_VIA_001,0,,0
68,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Ubd",IMPC_VIA_001,0,,0
69,Tmem60 (indel),IMPC_VIA_001,0,,0
70,RC3,IMPC_VIA_001,0,,0
71,Fam84b-indel,IMPC_VIA_001,0,,0
72,Gpr81 (indel),IMPC_VIA_001,0,,0
73,Gpr109 (indel),IMPC_VIA_001,0,,0
74,"Cul4a x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_001,0,,0
75,Tmem47-indel,IMPC_FER_001,0,,0
76,Asb4(indel),IMPC_FER_001,0,,0
77,Rnft1,IMPC_FER_001,0,,0
78,Wiz(indel),IMPC_VIA_001,0,,0
80,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Ddi2",IMPC_VIA_001,0,,0
82,Asb4(indel),IMPC_VIA_001,0,,0
83,Tmem62(del),IMPC_VIA_001,0,,0
84,Rnft1,IMPC_VIA_001,0,,0
85,Lamtor4(del),IMPC_VIA_001,0,,0
86,RC4,IMPC_VIA_001,0,,0
87,C57Bl/6J-Rnase2b-alt,IMPC_VIA_001,0,,0
88,Fam126a(del),IMPC_VIA_001,0,,0
89,Insig1(exdel),IMPC_VIA_001,0,,0
90,rKlk10,IMPC_VIA_001,0,,0
91,Klk13(exdel),IMPC_VIA_001,0,,0
92,Strip2 (exdel),IMPC_VIA_001,0,,0
93,Cyp39a1(exdel),IMPC_VIA_001,0,,0
94,Atf2tm1b,IMPC_VIA_001,0,,0
95,C57Bl/6NCrl x Rnf186,IMPC_VIA_001,0,,0
96,Cdk13tm1a,IMPC_VIA_001,0,,0
97,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)Ics x Eci 2",IMPC_VIA_001,0,,0
98,Fam208a(del),IMPC_VIA_001,0,,0
99,E_Hepacam2,IMPC_VIA_001,0,,0
100,C57Bl/6NCrl x Rnf121,IMPC_VIA_001,0,,0
101,Kbtbd11,IMPC_VIA_001,0,,0
103,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x March6",IMPC_VIA_001,0,,0
104,Klk8 (exdel),IMPC_VIA_001,0,,0
105,"2010111l01Rik x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_001,0,,0
108,Dcaf8 (exdel),IMPC_VIA_001,0,,0
109,Fam83h(exdel),IMPC_VIA_001,0,,0
110,Nwd2(exdel),IMPC_VIA_001,0,,0
111,Dcaf12 (exdel),IMPC_VIA_001,0,,0
113,Klk12 (exdel),IMPC_VIA_001,0,,0
114,Tmem240 (exdel),IMPC_VIA_001,0,,0
115,E_Angplt3,IMPC_VIA_001,0,,0
116,Naa38 (exdel),IMPC_VIA_001,0,,0
117,E_Angplt3,IMPC_FER_001,0,,0
118,C57Bl/6J-Rnase2b-alt,IMPC_FER_001,0,,0
119,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)Ics x Eci 2",IMPC_FER_001,0,,0
120,Fam126a(del),IMPC_FER_001,0,,0
121,E_Hepacam2,IMPC_FER_001,0,,0
122,Uchl4-indel,IMPC_FER_001,0,,0
124,Tmem62(del),IMPC_FER_001,0,IMPC_PSC_004,1
125,Klk13(exdel),IMPC_FER_001,0,,0
126,Strip2 (exdel),IMPC_FER_001,0,,0
127,Cyp39a1(exdel),IMPC_FER_001,0,,0
128,Pknox2(del),IMPC_FER_001,0,,0
129,Klk8 (exdel),IMPC_FER_001,0,,0
130,"2010111l01Rik x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_FER_001,0,,0
131,Trim15tm1b,IMPC_FER_001,0,,0
132,Dcaf8 (exdel),IMPC_FER_001,0,,0
133,Dcaf12 (exdel),IMPC_FER_001,0,,0
134,Klk12 (exdel),IMPC_FER_001,0,,0
135,E_Cluh,IMPC_EVP_001,0,,0
136,E_Dbn1 (RC2),IMPC_EVP_001,0,,0
137,E_Nxn (RC4),IMPC_EVP_001,0,,0
138,E_Prkab1 (RC1),IMPC_EVP_001,0,,0
139,E_Atf2,IMPC_EVP_001,0,,0
140,E_Tmem237,IMPC_EVM_001,0,,0
141,E_Cluh,IMPC_EVM_001,0,,0
142,E_Dbn1 (RC2),IMPC_EVM_001,0,,0
143,E_Ddi2,IMPC_EVM_001,0,,0
144,E_Nxn (RC4),IMPC_EVM_001,0,,0
145,E_Rnf121,IMPC_EVM_001,0,,0
146,E_Tmem237,IMPC_EVL_001,0,,0
147,E_Rnf121,IMPC_EVL_001,0,,0
148,E_Cluh,IMPC_EVO_001,0,,0
149,E_Dbn1 (RC2),IMPC_EVO_001,0,,0
150,E_Ddi2,IMPC_EVO_001,0,,0
151,E_Nxn (RC4),IMPC_EVO_001,0,,0
152,E_Atf2,IMPC_EVO_001,0,,0
154,E_Wiz,IMPC_EVP_001,0,,0
155,E_Fam83h,IMPC_EVP_001,0,,0
156,E_Wiz,IMPC_EVO_001,0,,0
157,1810041L15Rik (exdel),IMPC_VIA_002,0,,0
158,Cul9,IMPC_VIA_002,0,,0
159,Fam60a,IMPC_VIA_002,0,,0
160,Hdac4 (exdel),IMPC_VIA_002,0,,0
161,"Ltn1 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
162,Rnf4 (exdel),IMPC_VIA_002,0,,0
163,"Rnf5 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
164,Abtb1(exdel),IMPC_VIA_002,0,,0
165,Asb1,IMPC_VIA_002,0,,0
166,Birc6,IMPC_VIA_002,0,,0
167,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Btbd1tm1a",IMPC_VIA_002,0,,0
168,Btbd8,IMPC_VIA_002,0,,0
169,Bysl (exdel),IMPC_VIA_002,0,,0
170,Casp14,IMPC_VIA_002,0,,0
171,Coa6 (exdel),IMPC_VIA_002,0,,0
172,Crx,IMPC_VIA_002,0,,0
173,Dtx4,IMPC_VIA_002,0,,0
174,Fam71f1,IMPC_VIA_002,0,,0
175,Prdm8,IMPC_VIA_002,0,,0
176,Rasgrp3,IMPC_VIA_002,0,,0
178,Rnf14,IMPC_VIA_002,0,,0
179,Rnf19b,IMPC_VIA_002,0,,0
180,Rnf223,IMPC_VIA_002,0,,0
181,SBSN (IDL),IMPC_VIA_002,0,,0
182,Sox14,IMPC_VIA_002,0,,0
183,Spink13,IMPC_VIA_002,0,,0
184,Ubl4b,IMPC_VIA_002,0,,0
185,Zfp644,IMPC_VIA_002,0,,0
186,Asb16(exdel),IMPC_VIA_002,0,,0
187,Asb5,IMPC_VIA_002,0,,0
188,Asb7 (inexdel),IMPC_VIA_002,0,,0
189,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x March3",IMPC_VIA_002,0,,0
190,Klk11 (exdel),IMPC_VIA_002,0,,0
191,Asb16(exdel),IMPC_FER_001,0,,0
192,Casp14,IMPC_FER_001,0,,0
193,Prdm8,IMPC_FER_001,0,,0
194,Rasgrp3,IMPC_FER_001,0,,0
195,"Rnf128 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_FER_001,0,,0
196,Rnf223,IMPC_FER_001,0,,0
197,SBSN (IDL),IMPC_FER_001,0,,0
198,Zfp644,IMPC_FER_001,0,,0
199,E_Lamtor4,IMPC_EVL_001,0,,0
200,E_Fam208a,IMPC_EVL_001,0,,0
201,E_Wiz,IMPC_EVM_001,0,,0
202,E_Lamtor4,IMPC_EVM_001,0,,0
203,E_Fam208a,IMPC_EVM_001,0,,0
204,E_Fam126a,IMPC_EVP_001,0,,0
205,E_Cnpy2,IMPC_EVP_001,0,,0
206,E_Hdac4,IMPC_EVP_001,0,,0
207,Kbtbd11,IMPC_FER_001,0,,0
208,Nwd2(exdel),IMPC_FER_001,0,,0
209,Tmem240 (exdel),IMPC_FER_001,0,,0
210,Cul9,IMPC_FER_001,0,,0
211,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Btbd1tm1a",IMPC_FER_001,0,,0
212,Spryd4,IMPC_VIA_002,0,,0
220,Klk11 (exdel),IMPC_FER_001,0,,0
221,Cnpy2,IMPC_FER_001,0,,0
222,Asb5,IMPC_FER_001,0,,0
223,Zc2HC1a,IMPC_FER_001,0,,0
224,Prg4,IMPC_FER_001,0,,0
225,E_Rnf19b,IMPC_EVP_001,0,,0
227,1810011H11Rik(indel),IMPC_VIA_001,0,,0
228,Sbspon (indel),IMPC_VIA_001,0,,0
229,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Nub1",IMPC_VIA_001,0,,0
230,0610009O20Rik (del),IMPC_VIA_001,0,,0
231,3425401B19Rik (indel),IMPC_VIA_001,0,,0
232,Uchl4-indel,IMPC_VIA_001,0,,0
233,RC2,IMPC_VIA_001,0,,0
234,Nsmce1,IMPC_VIA_001,0,,0
235,Trim15tm1b,IMPC_VIA_001,0,,0
236,Pknox2(del),IMPC_VIA_001,0,,0
239,Crx,IMPC_FER_001,0,,0
240,Abtb1(exdel),IMPC_FER_001,0,,0
241,Ubl4b,IMPC_FER_001,0,,0
242,Krt28,IMPC_FER_001,0,,0
243,SLA2,IMPC_FER_001,0,,0
244,Spryd4,IMPC_FER_001,0,,0
245,Fbxo25,IMPC_FER_001,0,,0
246,Fgf14,IMPC_FER_001,0,,0
247,Gm10851,IMPC_FER_001,0,,0
248,Klk15(exdel),IMPC_FER_001,0,,0
249,Rnf14,IMPC_FER_001,0,,0
250,ncGm15551,IMPC_FER_001,0,,0
251,Krt27,IMPC_FER_001,0,,0
252,Mapkapk3,IMPC_FER_001,0,,0
253,Fam124a,IMPC_FER_001,0,,0
254,Krt33b,IMPC_FER_001,0,,0
255,Zfp474,IMPC_FER_001,0,,0
256,Krtap8_1,IMPC_FER_001,0,,0
257,Asb1,IMPC_FER_001,0,,0
258,Asb7 (inexdel),IMPC_FER_001,0,,0
265,Prss12,IMPC_FER_001,0,,0
266,1810041L15Rik (exdel),IMPC_FER_001,0,,0
270,Insig1(exdel),IMPC_FER_001,0,,0
271,GABRA5,IMPC_FER_001,0,,0
272,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Churc1tm1a",IMPC_FER_001,0,,0
273,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x March3",IMPC_FER_001,0,,0
274,Fgd3,IMPC_FER_001,0,,0
275,Rffl,IMPC_FER_001,0,,0
276,Fam71f1,IMPC_FER_001,0,,0
277,E_Fam60a,IMPC_EVO_001,0,,0
278,E_Rnf4,IMPC_EVO_001,0,,0
279,E_Ltn1,IMPC_EVP_001,0,,0
280,E_Fam60a,IMPC_EVP_001,0,,0
281,E_Atg7,IMPC_EVP_001,0,,0
282,E_Rnf4,IMPC_EVP_001,0,,0
283,E_Nsmce1,IMPC_EVM_001,0,,0
284,E_Fam60a,IMPC_EVM_001,0,,0
285,E_Anapc10,IMPC_EVM_001,0,,0
286,E_Fam96b,IMPC_EVM_001,0,,0
287,E_Rnf4,IMPC_EVM_001,0,,0
288,Rnf148,IMPC_FER_001,0,,0
289,Krt33a,IMPC_FER_001,0,,0
290,Wdr49,IMPC_FER_001,0,,0
291,Pdgfd,IMPC_FER_001,0,,0
292,Btbd8,IMPC_FER_001,0,,0
298,Fgd3,IMPC_VIA_002,0,,0
299,Fam124a,IMPC_VIA_002,0,,0
300,Zfp474,IMPC_VIA_002,0,,0
301,Cnpy2,IMPC_VIA_002,0,,0
302,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Churc1tm1a",IMPC_VIA_002,0,,0
303,Gm10851,IMPC_VIA_002,0,,0
304,ncGm15551,IMPC_VIA_002,0,,0
305,Krt27,IMPC_VIA_002,0,,0
306,Smim26,IMPC_VIA_002,0,,0
307,Klk15(exdel),IMPC_VIA_002,0,,0
308,Anapc10,IMPC_VIA_002,0,,0
310,Fgf14,IMPC_VIA_002,0,,0
311,Wdr49,IMPC_VIA_002,0,,0
312,Zc2HC1a,IMPC_VIA_002,0,,0
313,Prg4,IMPC_VIA_002,0,,0
314,Atf2tm1b,IMPC_VIA_002,0,,0
315,Krt28,IMPC_VIA_002,0,,0
316,SLA2,IMPC_VIA_002,0,,0
317,Prss47,IMPC_FER_001,0,,0
318,Fam160b2,IMPC_FER_001,0,,0
319,Prss54,IMPC_FER_001,0,,0
320,Lrrc17,IMPC_FER_001,0,,0
321,Atg7,IMPC_VIA_002,0,,0
322,Krtap8_1,IMPC_VIA_002,0,,0
323,Prss12,IMPC_VIA_002,0,,0
324,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Tomm6tm1a",IMPC_VIA_002,0,,0
325,Mapkapk3,IMPC_VIA_002,0,,0
326,"Stk26 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
327,E_Nsmce1,IMPC_EVL_001,0,,0
328,E_Anapc10,IMPC_EVL_001,0,,0
329,E_Fam96b,IMPC_EVL_001,0,,0
330,E_Coa6,IMPC_EVL_001,0,,0
331,E_Dtx4,IMPC_EVM_001,0,,0
332,E_Coa6,IMPC_EVM_001,0,,0
333,E_Rnf5,IMPC_EVP_001,0,,0
334,E_Dtx4,IMPC_EVP_001,0,,0
335,E_Dtx4,IMPC_EVO_001,0,,0
336,Pstpip1-CRISPR,IMPC_FER_001,0,,0
337,Fbxw20,IMPC_FER_001,0,,0
338,nc13D21Rik,IMPC_FER_001,0,,0
339,Kbtbd3,IMPC_FER_001,0,,0
340,Fam221a,IMPC_FER_001,0,,0
341,Rnf208,IMPC_FER_001,0,,0
342,Apbb1ip,IMPC_FER_001,0,,0
343,Aim2,IMPC_FER_001,0,,0
344,Tnfr60,IMPC_FER_001,0,,0
345,Fbxw15,IMPC_FER_001,0,,0
346,Spink13,IMPC_FER_001,0,,0
347,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x March6",IMPC_VIA_002,0,,0
348,Fam96b,IMPC_VIA_002,0,,0
349,Krt33a,IMPC_VIA_002,0,,0
350,Krt33b,IMPC_VIA_002,0,,0
351,Zc3h8,IMPC_VIA_002,0,,0
352,GABRA5,IMPC_VIA_002,0,,0
353,Ube2n,IMPC_VIA_002,0,,0
354,Rnf148,IMPC_VIA_002,0,,0
355,E_Smim26,IMPC_EVM_001,0,,0
356,E_Ube2n,IMPC_EVL_001,0,,0
357,E_Smim26,IMPC_EVL_001,0,,0
358,E_Ddb1,IMPC_EVL_001,0,,0
359,E_Ube2n,IMPC_EVM_001,0,,0
360,E_Ddb1,IMPC_EVM_001,0,,0
757,0610009O20Rik (del),IMPC_VIA_002,0,,0
758,1700026D08Rik (indel),IMPC_VIA_002,0,,0
759,1810011H11Rik(indel),IMPC_VIA_002,0,,0
760,"2010111l01Rik x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
761,2510009E07Rik (indel),IMPC_VIA_002,0,,0
762,2900011O08Rik (indel),IMPC_VIA_002,0,,0
763,3425401B19Rik (indel),IMPC_VIA_002,0,,0
764,Asb4(indel),IMPC_VIA_002,0,,0
765,Cluh (del),IMPC_VIA_002,0,,0
766,"Cul4a x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
767,Cyp39a1(exdel),IMPC_VIA_002,0,,0
768,Dcaf12 (exdel),IMPC_VIA_002,0,,0
769,Dcaf8 (exdel),IMPC_VIA_002,0,,0
770,Fam126a(del),IMPC_VIA_002,0,,0
771,Fam134a (del),IMPC_VIA_002,0,,0
772,Fam172aF1 (indel),IMPC_VIA_002,0,,0
773,Fam208a(del),IMPC_VIA_002,0,,0
774,Fam46a (indel),IMPC_VIA_002,0,,0
804,Fam83h(exdel),IMPC_VIA_002,0,,0
805,Fam84b-indel,IMPC_VIA_002,0,,0
806,Gpr109 (indel),IMPC_VIA_002,0,,0
807,Gpr81 (indel),IMPC_VIA_002,0,,0
808,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)Ics x Btbd3",IMPC_VIA_002,0,,0
809,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)Ics x Eci 2",IMPC_VIA_002,0,,0
814,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Abcg8",IMPC_VIA_002,0,,0
815,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Ddi2",IMPC_VIA_002,0,,0
816,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Klhl5",IMPC_VIA_002,0,,0
856,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Nub1",IMPC_VIA_002,0,,0
857,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Papd7",IMPC_VIA_002,0,,0
858,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Ubd",IMPC_VIA_002,0,,0
859,Insig1(exdel),IMPC_VIA_002,0,,0
860,Kbtbd11,IMPC_VIA_002,0,,0
861,Klk12 (exdel),IMPC_VIA_002,0,,0
862,Klk13(exdel),IMPC_VIA_002,0,,0
863,Klk8 (exdel),IMPC_VIA_002,0,,0
864,Lamtor4(del),IMPC_VIA_002,0,,0
865,March8 (indel),IMPC_VIA_002,0,,0
866,"Mex3b x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
867,Mzb1 (indel),IMPC_VIA_002,0,,0
868,Naa38 (exdel),IMPC_VIA_002,0,,0
869,Nsmce1,IMPC_VIA_002,0,,0
870,Nwd2(exdel),IMPC_VIA_002,0,,0
871,Pknox2(del),IMPC_VIA_002,0,,0
872,RC1,IMPC_VIA_002,0,,0
873,RC2,IMPC_VIA_002,0,,0
874,RC3,IMPC_VIA_002,0,,0
875,RC4,IMPC_VIA_002,0,,0
877,rKlk10,IMPC_VIA_002,0,,0
878,Rnft1,IMPC_VIA_002,0,,0
879,Sbspon (indel),IMPC_VIA_002,0,,0
880,Spink6 (indel),IMPC_VIA_002,0,,0
897,Strip2 (exdel),IMPC_VIA_002,0,,0
898,Tmem 55b (indel),IMPC_VIA_002,0,,0
899,Tmem132b (del),IMPC_VIA_002,0,,0
900,Tmem150b (del),IMPC_VIA_002,0,,0
901,"Tmem237 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
902,Tmem240 (exdel),IMPC_VIA_002,0,,0
904,Tmem60 (indel),IMPC_VIA_002,0,,0
905,Tmem62(del),IMPC_VIA_002,0,,0
906,Trabd2 (indel),IMPC_VIA_002,0,,0
907,Trim15tm1b,IMPC_VIA_002,0,,0
908,Trim9 (indel),IMPC_VIA_002,0,,0
909,Uchl4-indel,IMPC_VIA_002,0,,0
910,Wiz(indel),IMPC_VIA_002,0,,0
911,Tmem47-indel,IMPC_VIA_002,0,,0
912,"Rnf128 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
913,Rhobtb1,IMPC_VIA_002,0,,0
914,Rffl,IMPC_VIA_002,0,,0
915,Fam160b2,IMPC_VIA_002,0,,0
916,Rhag,IMPC_VIA_002,0,,0
917,Prss47,IMPC_VIA_002,0,,0
918,Pdgfd,IMPC_VIA_002,0,,0
919,Lhx5,IMPC_VIA_002,0,,0
920,Fbxw20,IMPC_VIA_002,0,,0
921,Fbxw16,IMPC_VIA_002,0,,0
922,Hepacam2,IMPC_VIA_002,0,,0
923,Sox14,IMPC_FER_001,0,,0
924,Fam53a,IMPC_FER_001,0,,0
925,Amelx,IMPC_FER_001,0,,0
926,Fam129a,IMPC_FER_001,0,,0
927,Nfam1,IMPC_FER_001,0,,0
928,Prss57,IMPC_FER_001,0,,0
929,Fam83d,IMPC_FER_001,0,,0
930,Fam71d,IMPC_FER_001,0,,0
931,Fgf20,IMPC_FER_001,0,,0
932,Oas1c,IMPC_FER_001,0,,0
933,Mfng,IMPC_FER_001,0,,0
934,Zc2HC1c,IMPC_FER_001,0,,0
935,Fam219a,IMPC_FER_001,0,,0
936,Prss35,IMPC_FER_001,0,,0
937,Fam185a,IMPC_FER_001,0,,0
938,Prss55,IMPC_FER_001,0,,0
939,Krt72,IMPC_FER_001,0,,0
941,Fbxo25,IMPC_VIA_002,0,,0
